Tiempo (s),Corriente Servo 1 (mA),Corriente Servo 2 (mA)
0.06560802459716797,-0.2,-0.1
0.10434484481811523,-0.1,-0.3
0.16604089736938477,-0.1,-0.3
0.20587706565856934,-0.2,-0.1
0.2661280632019043,-0.2,0.1
0.32726407051086426,0.0,-0.1
0.3670990467071533,-0.2,-0.1
0.4277610778808594,-0.1,-0.2
0.46708011627197266,-0.1,0.1
0.5275969505310059,-0.4,-0.2
0.5670700073242188,-0.3,0.0
0.6277289390563965,-0.1,-0.1
0.6878669261932373,-0.6,-0.1
0.7271671295166016,-0.1,-0.2
0.7878727912902832,-0.1,-0.1
0.8273491859436035,2.9,2.8
0.8878400325775146,2.4,2.2
0.9478371143341064,2.4,2.5
0.9875509738922119,2.3,2.4
1.0477709770202637,2.3,2.4
1.0875611305236816,2.2,2.3
1.1477148532867432,2.5,2.4
1.2074577808380127,2.5,2.5
1.2476530075073242,2.5,2.3
1.3078088760375977,2.1,2.3
1.347499132156372,2.4,2.3
1.407541036605835,2.5,2.3
1.4670391082763672,2.4,2.2
1.5074849128723145,2.3,2.4
1.5670371055603027,2.5,2.3
1.6072399616241455,2.4,2.2
1.6670401096343994,2.4,2.1
1.7272388935089111,2.5,2.3
1.7670438289642334,2.2,2.4
1.8279588222503662,2.2,2.4
1.887650966644287,2.3,2.3
1.9227190017700195,2.3,2.4
1.9778969287872314,2.4,2.0
2.038367986679077,2.3,2.4
2.0779318809509277,2.5,2.3
2.137906074523926,2.3,2.2
2.198291063308716,2.3,2.4
2.2380151748657227,2.7,2.5
2.2987968921661377,159.6,325.5
2.3355438709259033,33.2,241.6
2.3888659477233887,9.2,73.2
2.449146032333374,14.2,267.1
2.509871006011963,10.6,68.8
2.544076919555664,12.8,2.5
2.6003739833831787,10.8,40.0
2.6607980728149414,10.1,88.7
2.7002830505371094,5.2,322.2
2.761307954788208,10.1,147.8
2.821422815322876,8.2,125.7
2.856658935546875,10.1,27.8
2.9117629528045654,9.6,200.1
2.972409963607788,11.2,29.9
3.011883020401001,9.8,55.3
3.072550058364868,10.3,372.0
3.132044792175293,11.6,45.1
3.172595977783203,10.3,69.4
3.2325499057769775,9.2,323.4
3.2725610733032227,4.5,321.2
3.332103967666626,9.5,52.7
3.3919620513916016,9.6,122.5
3.4325649738311768,9.4,199.5
3.49200701713562,9.9,147.1
3.5320091247558594,10.8,94.1
3.592005968093872,9.8,2.6
3.6524839401245117,9.4,100.2
3.69195294380188,6.7,315.2
3.751829147338867,9.5,110.6
3.7919349670410156,10.0,27.8
3.852159023284912,3.0,301.1
3.91205096244812,9.1,2.7
3.9514670372009277,9.5,15.0
4.012120008468628,2.9,3.1
4.051964044570923,9.8,65.2
4.112119913101196,9.3,124.8
4.172008037567139,11.3,60.7
4.212239980697632,10.0,2.8
4.272298097610474,4.7,372.2
4.312013864517212,8.7,149.1
4.3724870681762695,9.8,26.3
4.432248830795288,6.9,64.0
4.471918821334839,9.6,42.9
4.531947135925293,9.8,29.2
4.571927785873413,7.3,145.0
4.632472991943359,9.7,16.0
4.69169282913208,11.3,52.6
4.732289791107178,9.6,93.4
4.791979074478149,10.7,145.4
4.8319268226623535,9.8,16.5
4.891707897186279,9.8,16.4
4.9516379833221436,10.1,16.5
4.991938829421997,10.0,16.5
5.052093982696533,10.0,16.4
5.092526912689209,81.5,1.5
5.152327060699463,9.5,2.6
5.212048053741455,9.1,17.7
5.252289772033691,9.2,2.5
5.311885833740234,120.5,4.0
5.352283000946045,3.5,6.8
5.412046909332275,1.8,11.7
5.471902132034302,29.5,4.0
5.512120962142944,4.8,3.2
5.570833921432495,3.7,3.4
5.612289905548096,159.6,3.5
5.671781063079834,224.6,-3.2
5.732192039489746,6.8,3.0
5.772525787353516,6.1,3.1
5.83197808265686,98.2,2.7
5.87227201461792,4.4,2.8
5.932559967041016,40.9,24.8
5.991968154907227,7.7,3.6
6.032365798950195,4.0,45.4
6.091723918914795,4.0,6.0
6.132006883621216,11.5,3.4
6.191691875457764,3.0,4.8
6.251730918884277,2.5,9.6
6.291783094406128,3.0,4.9
6.351989984512329,2.6,4.9
6.39177393913269,2.4,11.9
6.451913118362427,2.5,7.9
6.511518955230713,3.8,7.8
6.5520710945129395,2.7,3.2
6.611894845962524,2.6,5.4
6.652266979217529,91.0,5.3
6.712066888809204,2.5,5.4
6.77220892906189,2.6,5.1
6.8112101554870605,2.3,4.9
6.872301816940308,2.5,4.8
6.911184072494507,2.6,4.8
6.972546815872192,2.5,4.7
7.0311620235443115,2.6,5.0
7.071338176727295,2.5,4.6
7.13175106048584,2.4,4.8
7.171983957290649,2.2,4.7
7.231648921966553,39.5,5.1
7.291934013366699,25.5,3.4
7.331759929656982,9.0,4.8
7.391921043395996,28.6,6.2
7.432004928588867,5.7,12.7
7.491775989532471,103.8,16.3
7.551841974258423,7.1,2.5
7.59111213684082,18.0,31.5
7.652312994003296,3.4,7.2
7.691403150558472,14.8,6.9
7.75232195854187,4.3,80.5
7.811849117279053,4.8,11.4
7.851179122924805,20.4,24.4
7.912045955657959,2.6,13.7
7.951063871383667,24.1,16.3
8.01248812675476,25.7,35.0
8.072305917739868,4.4,39.7
8.107064962387085,3.8,22.6
8.16145396232605,2.8,26.0
8.221551895141602,2.4,31.4
8.281255006790161,14.7,24.0
8.322052001953125,4.8,21.4
8.38231897354126,4.0,9.9
8.421792030334473,4.7,13.5
8.4821138381958,4.2,20.1
8.54165005683899,4.1,27.8
8.581691026687622,18.5,2.5
8.64182996749878,2.3,17.1
8.68165111541748,7.3,297.8
8.741890907287598,77.3,2.2
8.80228590965271,140.7,6.9
8.841424942016602,27.4,60.0
8.901472091674805,57.6,24.2
8.941911935806274,150.4,74.2
9.001482009887695,5.0,5.5
9.06171703338623,81.4,72.2
9.101424932479858,9.3,30.3
9.161559820175171,24.2,33.0
9.201547145843506,6.6,36.7
9.262011051177979,6.0,51.6
9.321503162384033,18.6,125.9
9.361862897872925,6.7,12.0
9.421673059463501,5.9,52.7
9.46045994758606,5.8,46.7
9.522349834442139,7.2,59.8
9.58229398727417,16.3,9.3
9.622252941131592,15.3,4.6
9.682003021240234,5.8,53.3
9.722036123275757,6.2,20.3
9.782243013381958,7.2,13.2
9.841667890548706,7.9,6.9
9.882006168365479,18.6,2.4
9.94176697731018,359.2,20.0
9.982318878173828,110.2,283.2
10.040901899337769,364.5,84.9
10.101414918899536,29.0,33.9
10.141825199127197,6.2,37.4
10.201923847198486,19.0,205.7
10.241808891296387,11.9,310.8
10.301525115966797,20.5,270.4
10.361604928970337,8.3,284.6
10.40214490890503,3.7,114.4
10.461935043334961,3.4,60.7
10.501965999603271,7.7,393.8
10.561888933181763,8.1,296.3
10.621538877487183,10.1,241.7
10.662246942520142,5.6,167.1
10.722018957138062,10.9,55.6
10.762018918991089,3.3,200.1
10.822234869003296,5.0,390.4
10.882249116897583,5.8,338.6
10.922037124633789,7.6,388.4
10.98147702217102,6.3,253.6
11.021935939788818,8.4,118.9
11.081844091415405,55.6,191.1
11.141347885131836,23.8,215.1
11.181510925292969,78.8,321.1
11.241657972335815,75.5,385.0
11.28150200843811,360.3,347.3
11.341867208480835,52.1,390.5
11.402243852615356,182.5,343.9
11.441631078720093,2.4,371.6
11.501398086547852,223.3,376.1
11.541875123977661,350.7,354.5
